"TCGA-4Z-AA7Q-01";"TCGA-4Z-AA7W-01";"TCGA-4Z-AA81-01";"TCGA-4Z-AA82-01";"TCGA-4Z-AA84-01";"TCGA-4Z-AA86-01";"TCGA-BL-A13I-01";"TCGA-BL-A5ZZ-01";"TCGA-BT-A0YX-01";"TCGA-BT-A20J-01";"TCGA-BT-A20O-01";"TCGA-BT-A20U-01";"TCGA-BT-A20V-01";"TCGA-BT-A2LD-01";"TCGA-BT-A3PJ-01";"TCGA-BT-A3PK-01";"TCGA-BT-A42E-01";"TCGA-BT-A42F-01";"TCGA-C4-A0F0-01";"TCGA-CF-A1HS-01";"TCGA-CU-A0YN-01";"TCGA-CU-A3KJ-01";"TCGA-DK-A1AB-01";"TCGA-DK-A1AE-01";"TCGA-DK-A2I2-01";"TCGA-DK-A2I4-01";"TCGA-DK-A2I6-01";"TCGA-DK-A3IM-01";"TCGA-DK-A3IN-01";"TCGA-DK-A3IU-01";"TCGA-DK-A3WW-01";"TCGA-DK-A3WX-01";"TCGA-DK-A3WY-01";"TCGA-DK-A6B5-01";"TCGA-DK-AA6L-01";"TCGA-DK-AA6M-01";"TCGA-DK-AA6Q-01";"TCGA-DK-AA6R-01";"TCGA-DK-AA6S-01";"TCGA-DK-AA74-01";"TCGA-E5-A2PC-01";"TCGA-E7-A3X6-01";"TCGA-E7-A7DV-01";"TCGA-E7-A7XN-01";"TCGA-E7-A97P-01";"TCGA-FD-A3B3-01";"TCGA-FD-A3B4-01";"TCGA-FD-A3B5-01";"TCGA-FD-A3B6-01";"TCGA-FD-A3B7-01";"TCGA-FD-A3B8-01";"TCGA-FD-A3N5-01";"TCGA-FD-A3N6-01";"TCGA-FD-A3SN-01";"TCGA-FD-A3SO-01";"TCGA-FD-A3SP-01";"TCGA-FD-A43Y-01";"TCGA-FD-A5BS-01";"TCGA-FD-A5BT-01";"TCGA-FD-A5BU-01";"TCGA-FD-A5BX-01";"TCGA-FD-A5BY-01";"TCGA-FD-A5C1-01";"TCGA-FD-A62N-01";"TCGA-FD-A62S-01";"TCGA-FD-A6TD-01";"TCGA-FD-A6TH-01";"TCGA-FD-A6TK-01";"TCGA-FT-A61P-01";"TCGA-G2-A2EF-01";"TCGA-G2-A2EJ-01";"TCGA-G2-A2ES-01";"TCGA-G2-A3IB-01";"TCGA-G2-AA3C-01";"TCGA-GC-A3I6-01";"TCGA-GC-A3RC-01";"TCGA-GC-A3WC-01";"TCGA-GC-A3YS-01";"TCGA-GC-A6I1-01";"TCGA-GU-A42Q-01";"TCGA-GU-A762-01";"TCGA-GU-A764-01";"TCGA-GU-A766-01";"TCGA-GU-AATQ-01";"TCGA-GV-A40E-01";"TCGA-HQ-A5ND-01";"TCGA-HQ-A5NE-01";"TCGA-K4-A4AC-01";"TCGA-K4-A5RH-01";"TCGA-K4-A5RI-01";"TCGA-K4-A5RJ-01";"TCGA-K4-A6FZ-01";"TCGA-LC-A66R-01";"TCGA-PQ-A6FI-01";"TCGA-PQ-A6FN-01";"TCGA-SY-A9G5-01";"TCGA-UY-A78L-01";"TCGA-UY-A78P-01";"TCGA-UY-A8OB-01";"TCGA-UY-A8OC-01";"TCGA-UY-A9PB-01";"TCGA-XF-A8HD-01";"TCGA-XF-A8HE-01";"TCGA-XF-A9SI-01";"TCGA-XF-A9SM-01";"TCGA-XF-A9SX-01";"TCGA-XF-A9SY-01";"TCGA-XF-A9T3-01";"TCGA-XF-A9T4-01";"TCGA-XF-A9T5-01";"TCGA-XF-A9T6-01";"TCGA-XF-A9T8-01";"TCGA-XF-AAME-01";"TCGA-XF-AAMT-01";"TCGA-XF-AAMW-01";"TCGA-XF-AAN2-01";"TCGA-XF-AAN3-01";"TCGA-XF-AAN4-01";"TCGA-XF-AAN5-01";"TCGA-XF-AAN8-01";"TCGA-ZF-A9RD-01";"TCGA-ZF-A9RF-01";"TCGA-ZF-A9RN-01";"TCGA-ZF-AA4N-01";"TCGA-ZF-AA4V-01";"TCGA-ZF-AA4W-01";"TCGA-ZF-AA53-01";"TCGA-ZF-AA54-01";"TCGA-ZF-AA56-01";"TCGA-ZF-AA58-01";"TCGA-ZF-AA5H-01"
"BOLA2";0;0;0;0.00382137180977005;0;0;0.0623252811180976;0;0;0.0412031694178445;0;0;0.0191084277570039;0;0.0133997244415016;0.0633174604539111;0.0275106232510394;0;0;0;0;0;0;0.00155667140752369;0.00830327231570648;0;0;0;0;0.0539012848914365;0.0908205346252313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.302974827186134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00984650873346193;0;0;0;0;0;0.0180569262678278;0;0;0;0;0;0.0198869151952572;0;0;0;0.00500814420160354;0;0;0;0;0;0.0253808854418708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.16125030875091;0;0;0.00348889147998284;0;0;0;0;0.0595324883984309;0;0;0;0
"SCAND1";0.110818908493869;0;0;0;0;0;0.00754702710364205;0.0350747894483301;0;0;0;0;0;0;0;0;0;0;0.00481357113485801;0;0;0;0;0;0;0;0.0896892431292657;0;0;0;0;0;0;0.0325183659537488;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.029786743701532;0;0;0;0;0;0;0;0;0.154162984403196;0;0;0;0;0;0;0;0;0;0
"TCEB2";0;0;0;0;0.544117120461178;0;0;0;0.0458198094788268;0;0.354505546750276;0;0;0;0.0468134364810424;0;0;0;0;0;0;0;0;0;0.00667677523673421;0.559696998683864;0.0774934111647042;0.210205685316358;0;0;0;0;0.0118065572825248;0;0;0;0.105800139521826;0.099457562032504;0;0;0;0;0;0;0;0;0;0;0.150327072817589;0;0;0;0;0.0428920859228502;0;0.128445140170919;0.0180036747898276;0;0;0;0;0;0;0;0;0;0.729291974359847;0;0;0;0;0;0;0;0.575197290569406;0;0;0;0;0;0;0;0;0;0.0161275316508343;0;0;0;0.737734358219212;0;0;0;0.416351538758806;0;0;0.120916347951615;0;0;0.2350298704648;0;0.206772560991581;0;0;0.0135311859953583;0.0143224694031768;0;0;0.0253093772589136;0;0;0;0;0.0458227971000293;0;0.00794060457278492;0;0.0811392868054239;0;0;0;0;0;0;0;0;0;0;0.666132892425806;0;0;0.118605450317005
"ZNF593";0;0;0;0;0;0;0.112794210826161;0;0;0.0192858181229384;0;0.439542886848619;0.0225156453744273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00730036858377052;0;0;0;0.0739927287737136;0;0;0;0;0.0346165752586629;0.035378564912758;0;0.0162680034243088;0.0203120322523372;0;0.372789683999656;0;0.0221018694376139;0;0.00880918940888451;0;0.0104776612081597;0;0.626104213781313;0.971777727906825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0545209991276026;0.351745067368681;0;0;0.0530297297744651;0.207608467762913;0;0;0;0;0;0;0.511652925603443;0;0;0;0.142271784215467;0;0.264162640092615;0.236588580350217;0;0;0.00216768624869421;0;0;0;0;0;0;0;0;0;0.0423013684438716;0;0;0.203654943629348;0;0;0;0;0;0;0;0.0331805076307182;0;0.214379903837286;0;0;0.544673609055188;0;0.095049910355325;0;0.0940358511959859;0;0;0;0;0;0;0
"POLR2I";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.332137401371328;0;0.0946677542863333;0;0;0;0;0;0.0720084330408127;0;0;0;0;0;0;0.040008613099026;0;0;0;0.0291590128592695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.144403009018261;0.0564212969764331;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0942490395586739;0;0;0;0;0;0.0876302412277968;0;0;0.0299340853951779;0;0;0.0873778085209048;0;0;0;0;0;0;0;0;0;0;0.0631650244898746;0;0;0;0;0;0.00980380897782692;0;0;0;0;0;0.454238964219119;0.166553721265274;0;0.356356879492509;0;0;0;0;0;0;0;0
"PPAN";0;0.457340550756366;0.643527206046527;0;0;0;0.136553124194733;0;0;0;0;0;0;0;0;0.0154433817851471;0;0;0;0.0549327836770719;0;0;0;0.00084420096201765;0.000933310613004425;0;0;0;0.00408547076344924;0;0.0173253882798083;0.0958124801704627;0;0;0.0190906306961843;0;0;0.00318382121611417;0;0;0.0298493468782281;0;0.780555396269663;0;0.0124092411654718;0.0439434184553704;0;0;0.20071882117696;0;0;0;0;0;0.0880739252980198;0;0;0.167064738747775;0;0;0;0;0;0.0991293230140038;0;0.0211512637139105;0;0;0.130642697666584;0.0175082431912705;0.618492560229501;0;0;0;0;0;0.00126261894305743;0;0;0.139682880729353;0;0;0;0;0.0760217587905776;0.0459286776856117;0;0.297118270931971;0;0;0.351381657733817;0;0.0165089693638251;0.0681210258241523;0;0;0.00476750328964232;0.0474494132484659;0.0460392773590475;0.0185299385144264;0.0655102742592022;0;0.0546809883248716;0;0;0;0.0338807207225797;0.225545515214848;0;0;0;0;0;0;0;0.0120018297387283;0;0;0.683742022903454;1;0;0.394738900858462;0;0;0.110890250537782;0;0.0627400309008665;0.0535780833241348;0;0.0885298920675984;0
"NME2";0.574129515669003;0.0112550756186984;0;0;0.131213104080777;0;0.0717142906085091;0;0.0254253473361407;0;0;1;0;0.235453725722121;0;0.109330595696562;0;0.258726839207521;0;0;0;0;0;0.242604667904889;0;0;0;0.0691649259887937;0;0;0;0;0.0925055114209618;0;1;0.263266466725616;0;0;0;0;0.0537001496877179;0.202673499362274;0;1;0;0;0;0.182998864636307;0.0778697179996296;0;0;0;1;0.126973125893481;0;0;0;0;0;0;0;0.336865149237919;0;0;0;0.00989232464129579;0;0.0685284437494952;0.0851532122829797;0;0;0.378880360462146;0.816339302523514;0;0;0;0.103474312773203;1.64162576670504e-05;0;0;0;1;0.376116632917308;0.619002026106721;0.194536537556225;0;0;0.18666269284068;0;0.0491484463172398;0.281368873695148;0;0;0;0;0.345617648138308;0;0;0.34784019326876;0;0;0;0;0.106652513867427;0;0;0.394861479895757;0.0250529991909721;0;0.72274538215915;0;0.191620628692239;0.0105777961695714;0;0.0601650487852406;0;0.402389674588822;0.0149681717275225;0;0.132407940977101;0.356197423216516;0;0;0.229819766297373;0.237389887352017;0;0.0780263548920211;0;0;0.0501536580097221;0
"ZNF444";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.735698664388792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00184427427226746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.291455499970173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00825757845192462;0;0;0;0;0;0;0;0.000855969288144727;0;0;0.0203795869774158;0;0;0;0;0;0;0;0;0;0;0;0;0.00372649509017163;0;0;0;0;0;0.152978693586202;0.0133898227912325;0;0;0;0;0;0
"HDAC10";0.00125818474471128;0.0129380773555228;0.0129137081263176;0;0;0.00575212129808376;0;0;0;0;0;0.0180372773136836;0;0.00727220879149104;0;0;0.00531764346043889;0;0;0;0.00164780430321278;0.00484733950336176;0.0143902790917448;0.00541214513875538;0;0.00889292558120314;0.00760934355717227;0;0.00865245647367815;0.00781649329495127;0.00774496269226717;0.00471263072933174;0.00504171910342998;0;0;0.0113499892275963;0.00206580904858554;0.00436893218110515;0;0.00793952533354666;0;0;0;0.0176060857149253;0;0;0;0;0;0;0;0.015529390068239;0.0209433949854183;0.0202869660576038;0.000397845114961359;0;0;0.00034630905775493;0;0;0;0;0.0151627850746976;0.0134812512036797;0.00307896444870259;0.0120708322731197;0.0214441424579274;0;0;0;0.0179893888841756;0;0.00896026584658454;0.0501123460634811;0.0103421966451192;0;0;0;0;0.0149484960093473;0.00192041627694566;0.00128099043180291;0.00485127649372163;0.00675641227181523;0.0220103710381376;0.00111220329906287;0;0.00458381571362311;0;0.00218644139238888;0;0.0113529131076381;0.000735237449918661;0;0;0.00122717807037747;0;0;0;0.00771608332126538;0;0;0;0;0.0041625816739154;0.0172079158637707;0.01321424364356;0.00522560817050549;0.00949576191745295;0;0;0.00493877875568334;0.0148248536470984;0;0;0;0;0;0;0;0.00699305230603536;0;0.00123204368662658;0.00655542552074279;0.00232034258871273;0.00226453411151023;0.0195438650583636;0;0.00426180639091314;0.00546847639799846;0.00570405719266726
"ANKS3";0;0;0;0;0;0;0.0612105516440401;0;0.0663641898945898;0;0;0;0.0176415225974158;0;0;0.102050590428086;0;0;0.116748906857525;0;0;0;0;0.0853811926031811;0;0;0.0597940790899251;0;0;0.071790242148369;0.151565599444377;0.0580224358194974;0.0209148834713;0;0;0;0;0;0;0;0;0;0;0.00226010509650333;0;0.0466536967832028;0;0.0111696562963769;0;0;0;0;0.0589577887962605;0;0;0;0;0;0;0;0.011281954418971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000695278829322372;0;0;0;0.0260796524396263;0;0;0;0;0;0;0;0;0.00496393554954711;0;0;0;0;0.019934353323358;0;0.121587061348571;0;0.0198737953877409;0;0;0.0231992602639553;0;0;0;0;0;0;0;0;0;0.00683841702550465;0;0.0395504982653128;0;0.170485414138404;0.158203333493608;0.0125616886471147;0;0;0;0;0.342916857483039;0;0.04089302453069;0;0.120999830474101;0;0;0;0
