"TCGA-2F-A9KT-01";"TCGA-2F-A9KW-01";"TCGA-4Z-AA7M-01";"TCGA-4Z-AA87-01";"TCGA-BL-A0C8-01";"TCGA-BT-A20W-01";"TCGA-BT-A3PH-01";"TCGA-C4-A0F6-01";"TCGA-CF-A7I0-01";"TCGA-CF-A9FL-01";"TCGA-CU-A0YR-01";"TCGA-DK-A1A6-01";"TCGA-DK-A1A7-01";"TCGA-DK-A1AD-01";"TCGA-DK-A3IK-01";"TCGA-DK-A3IL-01";"TCGA-E7-A85H-01";"TCGA-E7-A97Q-01";"TCGA-FD-A3SJ-01";"TCGA-FD-A43N-01";"TCGA-FD-A62O-01";"TCGA-FD-A6TI-01";"TCGA-FJ-A3Z7-01";"TCGA-GD-A2C5-01";"TCGA-GU-A767-01";"TCGA-GV-A3JV-01";"TCGA-K4-A6MB-01";"TCGA-KQ-A41P-01";"TCGA-UY-A78M-01";"TCGA-UY-A78N-01";"TCGA-UY-A78O-01";"TCGA-UY-A9PD-01";"TCGA-UY-A9PE-01";"TCGA-UY-A9PF-01";"TCGA-XF-A8HF-01";"TCGA-XF-A8HH-01";"TCGA-XF-A9SV-01";"TCGA-XF-A9T0-01";"TCGA-XF-AAMX-01";"TCGA-XF-AAMY-01";"TCGA-XF-AAMZ-01";"TCGA-ZF-A9R0-01";"TCGA-ZF-A9R1-01";"TCGA-ZF-A9RC-01"
"TBX6";0;0;0.0431254603096657;0;0.0139966730212537;0;0;0.0698377046571046;0;0;0;0;0;0;0;0;0;0;0;0;0.0377690501839282;0.0496956516343915;0.351397917863811;0;0.101116730330067;0;0;0;0.0404173177095428;0.614296377997456;0.199714354611446;0.0169070443205262;0.0094587181249739;0.0637824689546432;0.0644671374032637;0.000362378889714265;0;0;0;0.0577429762320222;0;0;0;0.0408939463239012
"HDAC10";0;0;0;0;0.013476874726239;0.00477233706844005;0;0.0225479578945781;0;0;0;0.00379188975391897;0.00810076918519324;0.053320187413183;0;0;0;0;0;0;0.0116191569519153;0;0;0.0205768586339114;0.00964138479656316;0;0;0;0.0311059727987458;0;0.00619462903129265;0;0;0;0.00658470010876766;0;0.000402415595020276;0;0.0496712640946089;0.0142603749403607;0.0646087179410694;0;0.00944710515534852;0.000306988863966782
"ZNF266";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000915531354700731;0.000564418250968452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MDM4";0.0237602401818239;0;0;0.0295274202064825;0.02490163961545;0.00373388091869352;0;0.00393832917705927;0;0;0;0;0;0;0;0;0;0;0;0.0280589204208188;0.00736591345090951;0;0;0.00716707179241648;0.0256598231779338;0;0.0342295011091522;0.0116656140356445;0;0;0;0;0;0;0;0;0;0;0;0.00997074971560166;0.0100909131114871;0;0;0.0030575741206751
"ZNF224";0;0;0;0;0;0.0143733773117642;0;0.00902381025630123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0201469003055468;0;0.00134218866665239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ZNF84";0;0;0;0;0;0;0;0.00264437576151453;0.027347936860412;0;0;0;0;0;0;0;0.0108369081964484;0;0;0;0.0396183368366926;0;0;0.00698959259023683;0;0;0.032824100742068;0.0082509557216631;0;0;0;0;0.00577978195369908;0;0;0;0;0;0;0;0.0169672611442755;0.00167930520329923;0;0
"ZNF443";0.00389301542157305;0;0;0.0812257320468626;0;0;0;0;0.131437072414902;0.439771555256291;0;0;0;0;0;0;0;0;0.185753110330596;0.112048843478385;0;0.631775633048798;0.130604582323185;0;0.099650728005947;0.00693035729606467;0;0.07128935861537;0.393620793839283;0.429483532014355;0.27000978394327;0;0;0;0;0.00601310528912284;0;0.041017625688476;0.35618300650356;0.211205219096855;0;0.133887904275905;0.15911751294988;0.797165612447582
"NOTCH4";0.00395009566208358;0;0;0;0;0;0.0530771795335257;0;0;0.0365819617251897;0.0393489551495853;0;0.026841827051422;0;0.016956930085036;0;0;0.0210553900753789;0.0208501340273875;0.029183991879109;0;0;0;0.0083861944616102;0;0.0213087384527643;0.0231039838096425;0.00630980431343785;0;0;0.0683517694351513;0.0184036812459337;0.024205192512706;0.00441560955923645;0.0277345190297338;0.0171885539453271;0.0301188263971769;0;0.0493451155995515;0.026507217680031;0.014353273344537;0.0257601108213299;0;0.0398659948016887
"GLIS1";0;0;0;0;0;0;0.0117173473196643;0;0;0;0;0;0;0;0;0.00678490190181062;0;0;0;0;0;0;0.0158500472133681;0;0.0202866559162234;0;0;0;0;0;0.0144826170408185;0;0;0;0;0;0;0;0;0;0;0;0;0
"MSC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"HIC1";0;0;0;0;0;0;0;0;0;0;0;0.24284864985735;0;0;0.00800558771149165;0;0;0;0;0;0;0;0;0;0;0;0.00535541613786574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MEIS3";0;0;0;0;0;0;0.0164672831415714;0;0;0;0;0;0;0.0181405499731836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TGFB1I1";0;0.0714550781755198;0;0;0;0;0;0;0.00592662670691783;0;0;0;0;0;0;0.0554326301583303;0;0;0;0.0860658564202083;0;0;0;0;0;0;0;0;0.0260955945232325;0;0;0;0;0;0;0;0;0;0;0;0;0.0575203344628836;0.0197400074448249;0
"PRRX2";0;0;0;0;0;0;0;0;0.0053950357872632;0;0;0;0;0;0;0;0;0;0;0.00326863033157019;0;0;0;0;0;0;0;0;0;0;0.016966331469025;0;0;0;0;0;0;0.0148633153834014;0;0;0;0;0;0
"GLIS2";0;0.0195934213555759;0;0;0;0;0;0;0;0;0.018562396830938;0;0;0;0;0.0132774540663283;0;0;0;0;0.0496289437817897;0;0;0;0.00947061030150345;0;0;0;0;0;0.0521958525803679;0;0.0150402116887625;0;0.0241000848657946;0;0;0;0;0;0;0;0;0
"HAND2";0;0.0283094618066613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00551772438806549;0;0.00300585832790033;0;0;0.0469153787730562;0;0;0;0.0424640398898312;0;0;0.00636657682844256;0;0;0;0;0.013871781527785;0;0;0;0;0;0;0;0;0
"TWIST2";0.108327554684619;0.0317163634662252;0.0390330525745406;0;0;0;0;0;0;0;0;0;0;0;0.0119945968594818;0.00234562845928306;0;0;0;0;0;0;0;0;0;0;0.096534361535352;0;0;0.0290309505509531;0;0;0;0;0;0;0;0.00741921899907513;0;0;0;0;0;0
"AEBP1";0;0.0813753669211878;0.217198344865934;0;0.336418092824039;0.358098335730956;0;0.246582387779219;0.227926836358787;0.268854082227508;0;0;0;0;0.00573497948834147;0.0356600182790712;0;0;0;0;0;0.686530727229015;0;0.0262096675750852;0.343675339449309;0;0;0;0.382057838300239;0;0;0.0185987853186371;0.374466253952218;0;0;0;0;0;0;0.145429212385412;0;0.104400435099589;0;0
"CSDC2";0;0.344193603400586;0;0;0;0.187626123581923;0;0;0.192603317456294;0.0241623224732515;0.279139933927931;0;0;0.417806408838301;0;0.0587905152673652;0;0.0823141782471244;0;0.136806561875127;0.0323274054776646;0;0.0905237242639545;0.00571249308543979;0.0187605720741131;0.0333351265939043;0.0323156230903515;0.147787974691512;0.0934159017496211;0.533944424346247;0.309832946657378;0.192102265364016;0.0708667778219046;0;0.284119024130616;0;0;0;0;0.171687836738078;0;0;0.115742534360309;0
"NAP1L3";0.0418425724212872;0;0.079586566265573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.024114511269433;0.0445391118438744;0;0;0.00962353108961237;0;0;0;0;0;0;0;0;0;0;0;0;0.00559994180029961;0;0;0;0;0;0;0
"ZNF469";0;0;0;0;0;0;0;0;0;0;0;0.151856808290701;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00456249699751347;0;0.0234899790712561;0;0;0;0;0;0;0;0;0
"PTRF";0;0;0;0.212758770635541;0;0;0.241645193559016;0;0;0.269490427364636;0;0.0470709411221332;1;0;0.19759308968189;0;0.519579963621805;0.374260317222008;0.351804226080006;0;0;0.303552087294805;0;0.0172517104635878;0;0.183860192241104;0.351989871631047;0;0;0;0;0.144104706789393;0;0;0;0;0.474445990523573;0;0.363999881828198;0.16216759366683;0;0;0.240417094781661;0
"TWIST1";0.184282696818919;0;0;0;0;0;0;0;0;0;0.0554963546931445;0.0303384750226409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0307349964967229;0;0;0;0;0.0231947206561133;0;0;0;0;0;0
"ETV1";0;0.00539724975311397;0;0;0;0;0.0179717270209579;0.00240721809369903;0.000236212206742075;0;0;0;0;0;0;0;0.021279374973932;0;0;0;0;0;0.0132965148319711;0;0.00269872295785512;0;0;0;0;0.0165017148458731;0;0;0.00612445620493295;0;0;0;0;0;0;0;0;0;0;0
"ZFPM2";0;0.00571207848645907;0;0;0;0;0;0;0.00828160454330499;0;0.0319434645387641;0;0;0;0.00863662107701447;0.000314035953627619;0;0;0;0;0.139721270623616;0;0.0228857618114002;0;0;0;0;0;0;0;0;0;0;0;0.0241816804739316;0;0;0;0;0;0;0;0.02488838235368;0
"PRRX1";0;0;0.283480008262406;0;0;0.0134474734409434;0;0;0;0.0615239560748725;0;0;0.374268921582376;0;0.0340880548569985;0.109256560431015;0;0.0395127336135801;0;0;0;0.39580729078106;0.36357300413661;0.132536874299625;0.370961936335649;0.0535379986090611;0;0.191012973840206;0.785876777374768;0;0;0;0;1;0;0;0;0;1;0;0;0.273684477671605;0;0
"ZNF345";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.82394391248935e-05;0.00299506589736476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000825825703708295;0;0.00643657763414513;0;0;0;0;0;0;0;0;0
"MLLT6";0.00148788614721599;0.0018627706529004;0.00092650212664739;0;0;0;0;0;0;0;0;0;0;0;0;0.00114464763804988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000336873341858038;0;0;0;0;0;0;0;0;0
"ZNF195";0;0;0;0;0;0;0.510945740485262;0.0419268440764251;0;0;0;0.548607128128892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0497785316899796;0;0;0;0;0;0;0;0;0;0.028769793190408;0;0;0
"ZSCAN16";0;0;0.00259416093875352;0;0;0;0.236905700153314;0;0;0;0;0.34509052350973;0;0;0.0117920762921071;0;0.0101475938032328;0;0;0.0172225227694716;0;0;0;0.0057158589191041;0;0.0617584389418261;0;0;0;0;0;0;0.0447627164058241;0.0823176311577511;0.0120680349844861;0;0;0.000902557800860812;0;0;0;0.0147251704353767;0.0228442340881165;0.0276302752664519
"ZFP62";0;0;0;0.0186722981511444;0.0173745923368943;0;0;0;0;0;0;0;0.0942712320946629;0;0.00614999077988804;0;0;0.0674618085343195;0;0.0283571467955719;0;0;0.126091408774229;0;0;0;0;0;0;0;0;0;0;0;0;0.0253226686995242;0.369368045472235;0;0;0;0;0;0;0
"SS18L1";0;0;0;0;0;0.00953170808040772;0;0.0576018335352079;0.000466608895983087;0;0;0;0;0;0.00624587156305463;0;0;0.0232065601259265;0;0.00570473891542352;0;0;0.0637289560641286;0.000230365641586281;0;0;0;0.00483072914059655;0;0;0;0.00340184013046944;0.010665396774515;0;0;0;0;0.00111722687406298;0;0;0.00257166541788979;0;0.016443639926585;0
