"TCGA-2F-A9KO-01";"TCGA-4Z-AA7N-01";"TCGA-5N-A9KI-01";"TCGA-5N-A9KM-01";"TCGA-BL-A13J-01";"TCGA-BT-A20Q-01";"TCGA-BT-A20T-01";"TCGA-BT-A2LB-01";"TCGA-CU-A0YO-01";"TCGA-CU-A72E-01";"TCGA-DK-A1A3-01";"TCGA-DK-A1A5-01";"TCGA-DK-A1AC-01";"TCGA-DK-A1AF-01";"TCGA-DK-A2HX-01";"TCGA-DK-A2I1-01";"TCGA-DK-A3IQ-01";"TCGA-DK-A3IT-01";"TCGA-DK-A6B2-01";"TCGA-DK-AA6T-01";"TCGA-DK-AA6X-01";"TCGA-E7-A6MD-01";"TCGA-FD-A3SL-01";"TCGA-FD-A3SM-01";"TCGA-FD-A3SQ-01";"TCGA-FD-A3SR-01";"TCGA-FD-A3SS-01";"TCGA-FD-A43P-01";"TCGA-FD-A43S-01";"TCGA-FD-A43U-01";"TCGA-FD-A5BR-01";"TCGA-FD-A5BZ-01";"TCGA-FD-A5C0-01";"TCGA-FD-A62P-01";"TCGA-FD-A6TA-01";"TCGA-FD-A6TB-01";"TCGA-FD-A6TC-01";"TCGA-FD-A6TF-01";"TCGA-FD-A6TG-01";"TCGA-G2-A2EO-01";"TCGA-GC-A3OO-01";"TCGA-GC-A6I3-01";"TCGA-GD-A3OP-01";"TCGA-GU-AATO-01";"TCGA-GU-AATP-01";"TCGA-GV-A3QG-01";"TCGA-K4-A3WS-01";"TCGA-K4-A3WU-01";"TCGA-K4-A4AB-01";"TCGA-K4-A54R-01";"TCGA-K4-A83P-01";"TCGA-K4-AAQO-01";"TCGA-KQ-A41S-01";"TCGA-R3-A69X-01";"TCGA-S5-A6DX-01";"TCGA-SY-A9G0-01";"TCGA-UY-A78K-01";"TCGA-UY-A8OD-01";"TCGA-UY-A9PH-01";"TCGA-XF-A9SJ-01";"TCGA-XF-A9SK-01";"TCGA-XF-A9SL-01";"TCGA-XF-A9SP-01";"TCGA-XF-A9SU-01";"TCGA-XF-A9SW-01";"TCGA-XF-A9SZ-01";"TCGA-XF-AAMJ-01";"TCGA-XF-AAMR-01";"TCGA-XF-AAN0-01";"TCGA-YC-A8S6-01";"TCGA-ZF-A9R9-01";"TCGA-ZF-AA51-01";"TCGA-ZF-AA52-01";"TCGA-ZF-AA5P-01"
"NR2F6";0;0;0;0;0.189355409812846;0;0;0;0;0;0;0;0;0;0;0;0;0.0132463115837338;0.434416058600838;0;0;0;0.0256664633662954;0;0;0;0;0;0.128499415529127;0.00229351090617805;0;0;0.538405089317318;0;0;0;0;0.0435614807321512;0.16082552067899;0;0.137665241435429;0;0.0806585047385188;0;0;0;0.113851178717717;0;0;0.0410330243132201;0;0;0;0;0;0;0;0;0;0;0;0.0667033685229166;0;0;0;0;0;0;0;0.421704005479644;0;0;0;0
"TCEB2";0;0;0;0;0;0;0;0.0544419554323736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.018129893420983;0;0;0;0;0;0;0;0;0;0;0.0898132741748295;0;0.0310507628678697;0;0;0;0;0;0;0;0;0;0;0;0;0.012322662595877;0;0
"ZNF444";0;0;0;0;0.0539242166142866;0;0;0;0;0.0256815769710911;0;0;0;0;0;0;0.0338547718928369;0;0;1;0;0;0;0;0;0.0963009194098995;0;0;0;0;0;0;0;0;0.0130642751371584;0;0.150744451551486;0.010730148754178;0;0;0;0;0.0205484133592824;0;0;0;0;0;0;0;0;0;0.0386857619733885;0;0;0;0;0;0.0556651889101039;0;0;0;0;0;0;0;0.0230280450498858;0;0;0;0;0;0;0
"HDAC10";0.0144146697396642;0.0138472322309078;0.071792277074775;0;0;0.0337905861492833;0;0;0.0484064322841892;0;0;0;0;0;0;0.0132498157933901;0.105936941554987;0.0411891053934993;0;0.175501503839355;0.0550631352917619;0.00546227863187067;0;0.0478790871944555;0;0;0;0;0.00144389406553177;0;0;0;0;0;0;0.0803757509090832;0.0180032670437551;0;0;0.125879695643376;0;0;0;0.147738701515736;0;0.0450196148213431;0.00390924647451113;0.0256432286138242;0.122792063913823;0.0114890059951619;0;0;0;0;0;0.101013283391955;0.336591625789629;0.66472435465632;0.0622061221481372;0.0903887109557655;0;0.0858677639846135;0;0;1;0.0027694585648454;0;0.0621512720123783;0.0564944524528942;0;0;0.0823186666401102;0;0
"TAF1C";0.00343110085847971;0.0175740949940615;0;0.0181060214981164;0.000716722225114329;0;0;0.0240988380368187;0.0697798086182434;0;0;0.0348673032933389;0.0529531792450305;0;0;0.0362935368132647;0.0434335507691619;0.000132747729751757;0.0138475980846425;0;0;0.00928319374710603;0;0;0;0;0;0;0.0389162863092635;0;0;0;0;0.0242661155048736;0.00270761983022782;0;0;0.0328683635453121;0;0.0357520904374527;0;0;0.0231559952256201;0.00195911689227676;0;0.0103924117641531;0;0.0224876774699408;0;0;0;0;0;0;0.00125008878863584;0;0;0;0.0123180894139573;0;0;0.0394363394643415;0.00891456754263059;0.0346316685209801;0;0;0.0165142237829298;0.0101613899539035;0;0.0311015546871037;0;0;0;0.0290461816338952
"ZNF266";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00794639713721419;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0109199663413158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00112832619485042;0;0;0;0;0;0
"MDM4";0;0;0.00842937314592527;0;0;0.0235994250883996;0;0;0;0;0;0;0;0;0;0;0;0.0127155174322402;0;0;0;0.0402639373133532;0;0;0.00239185748181011;0.118387611377901;0.00508655590898678;0;0;0.0519329633413424;0;0;0;0;0;0.0219038945316927;0;0;0;0;0;0;0;0;0;0.028009964772512;0;0;0.0272017474605688;0;0.0387219355934886;0;0;0.0874080538736135;0;0.0182898435627837;0;0;0.00422767149519886;0;0;0;0;0;0;0;0;0;0;0;0;0.00820274932462683;0;0
"ZNF141";0;0;0;0;0;0;0;0;0;0;0;0;0;0.000462629917026818;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00193814292249853;0;0;0;2.92123309738157e-05;0;0;0;0;0;0;0;0;0;0;0.000740579150208699;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SS18L1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.139559863151362;0;0.00390150231960094;0;0;0;0;0;0;0.0506027158174566;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00397155089278707;0;0;0;0.0249878437804287;0.0278054667379792;0;0;0.0622568885894935;0;0.0497381471175442;0;0;0.138935334428436;0;0.0395247771034191;0;0;0.0437119502026897;0;0.018423864574265;0;0.00364663322197932;0.0279950064617642;0.491844665322609;0;0;0;0;0;0;0;0;0.379106461110791
"ZNF211";0;0;0;0;0;0;0;0;0;0;0;0.00769221790228199;0;0;0;0.108108466292384;0;0;0;0;0.00130327763572835;0;0;0;0;0;0;0;0.0304233468983976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.12572104689655;0.01176963581993;0;0;0;0;0;0;0;0;0;0.0377921699522102;0;0;0.0104866983513388;0;0;0;0;0
