"TCGA-2F-A9KP-01";"TCGA-2F-A9KQ-01";"TCGA-2F-A9KR-01";"TCGA-4Z-AA7O-01";"TCGA-4Z-AA7S-01";"TCGA-4Z-AA7Y-01";"TCGA-4Z-AA80-01";"TCGA-4Z-AA83-01";"TCGA-4Z-AA89-01";"TCGA-BT-A20N-01";"TCGA-BT-A20P-01";"TCGA-BT-A42C-01";"TCGA-CF-A1HR-01";"TCGA-CF-A3MF-01";"TCGA-CF-A3MG-01";"TCGA-CF-A3MH-01";"TCGA-CF-A3MI-01";"TCGA-CF-A47S-01";"TCGA-CF-A47T-01";"TCGA-CF-A47V-01";"TCGA-CF-A47W-01";"TCGA-CF-A47X-01";"TCGA-CF-A47Y-01";"TCGA-CF-A5U8-01";"TCGA-CF-A5UA-01";"TCGA-CF-A8HX-01";"TCGA-CF-A8HY-01";"TCGA-CF-A9FF-01";"TCGA-CF-A9FH-01";"TCGA-CF-A9FM-01";"TCGA-CU-A3QU-01";"TCGA-CU-A3YL-01";"TCGA-CU-A5W6-01";"TCGA-DK-A1AA-01";"TCGA-DK-A1AG-01";"TCGA-DK-A3IS-01";"TCGA-DK-A3IV-01";"TCGA-DK-A3X1-01";"TCGA-DK-A3X2-01";"TCGA-DK-A6AV-01";"TCGA-DK-A6AW-01";"TCGA-DK-A6B0-01";"TCGA-DK-A6B1-01";"TCGA-DK-A6B6-01";"TCGA-DK-AA6P-01";"TCGA-DK-AA6U-01";"TCGA-DK-AA71-01";"TCGA-DK-AA75-01";"TCGA-DK-AA76-01";"TCGA-DK-AA77-01";"TCGA-E5-A4TZ-01";"TCGA-E5-A4U1-01";"TCGA-E7-A3Y1-01";"TCGA-E7-A4IJ-01";"TCGA-E7-A4XJ-01";"TCGA-E7-A519-01";"TCGA-E7-A541-01";"TCGA-E7-A5KE-01";"TCGA-E7-A5KF-01";"TCGA-E7-A677-01";"TCGA-E7-A678-01";"TCGA-E7-A6ME-01";"TCGA-E7-A6MF-01";"TCGA-E7-A7DU-01";"TCGA-E7-A7PW-01";"TCGA-E7-A8O7-01";"TCGA-FD-A3NA-01";"TCGA-FD-A43X-01";"TCGA-FD-A5BV-01";"TCGA-FD-A6TE-01";"TCGA-FJ-A3Z9-01";"TCGA-FJ-A3ZE-01";"TCGA-FJ-A3ZF-01";"TCGA-FT-A3EE-01";"TCGA-G2-A2EK-01";"TCGA-G2-A3IE-01";"TCGA-G2-A3VY-01";"TCGA-G2-AA3B-01";"TCGA-G2-AA3D-01";"TCGA-G2-AA3F-01";"TCGA-GC-A3BM-01";"TCGA-GC-A3RB-01";"TCGA-GC-A3RD-01";"TCGA-GC-A4ZW-01";"TCGA-GD-A3OQ-01";"TCGA-GD-A6C6-01";"TCGA-GD-A76B-01";"TCGA-GU-A42P-01";"TCGA-GU-A42R-01";"TCGA-GU-A763-01";"TCGA-GV-A3JW-01";"TCGA-GV-A3JX-01";"TCGA-GV-A3QF-01";"TCGA-GV-A3QH-01";"TCGA-GV-A3QI-01";"TCGA-GV-A3QK-01";"TCGA-GV-A40G-01";"TCGA-GV-A6ZA-01";"TCGA-H4-A2HO-01";"TCGA-H4-A2HQ-01";"TCGA-HQ-A2OE-01";"TCGA-HQ-A2OF-01";"TCGA-KQ-A41N-01";"TCGA-KQ-A41O-01";"TCGA-KQ-A41Q-01";"TCGA-KQ-A41R-01";"TCGA-LT-A5Z6-01";"TCGA-LT-A8JT-01";"TCGA-MV-A51V-01";"TCGA-S5-AA26-01";"TCGA-UY-A9PA-01";"TCGA-XF-A8HB-01";"TCGA-XF-A8HC-01";"TCGA-XF-A8HG-01";"TCGA-XF-A8HI-01";"TCGA-XF-A9SH-01";"TCGA-XF-AAML-01";"TCGA-XF-AAMQ-01";"TCGA-XF-AAN1-01";"TCGA-YC-A89H-01";"TCGA-YF-AA3L-01";"TCGA-YF-AA3M-01";"TCGA-ZF-A9R2-01";"TCGA-ZF-A9R3-01";"TCGA-ZF-A9R4-01";"TCGA-ZF-A9R5-01";"TCGA-ZF-A9R7-01";"TCGA-ZF-A9RE-01";"TCGA-ZF-A9RL-01";"TCGA-ZF-A9RM-01";"TCGA-ZF-AA4T-01";"TCGA-ZF-AA4U-01";"TCGA-ZF-AA4X-01";"TCGA-ZF-AA5N-01"
"ZNF444";0;0;0.0339720916032091;0;0.0200748198702625;0;0.27332692572585;0.0466174407286814;0.0104001307207947;0;0;0.0185429211297301;0;0;0.0178675138516324;0;0;0;0;0.00362460198617114;0;0.00400189448049827;0.00290090831070145;0;0;0;0;0;0.0151489513261609;0.457613344104329;0;0;0.0394407058350768;0;0;0.0148829341029725;0;0.0111233321548712;0;0.0257464904406137;0;0.00679685297635277;0.00300940680860478;0;0;0.0107287210856454;0;0;0.00217944401593335;0;0;0;0.492019692444643;0;0;0;0;0.0290894324017762;0;0.00283825512455438;0.0887440516237217;0.0123471952729164;0.0286745286966632;0;0;0;0;0;0;0.013779270310348;0.00495487218376606;0.167602308276152;0;0.0304191844155101;0.0179261858930745;0;0.0320346437835836;0;0;0;0;0;0;0;0;0;0;0.0204816486103049;0;0;0;0.0161564780891119;0;0.0306056025430073;0.0175680201710408;0;0;0.0170092984842921;0.0136874265816889;0;0.0650126518958231;0;0;0;0;0;0.0953213402774541;0;0.0108750858727119;0;0;0.0700340420534676;0.0241545951563652;0;0;0.00746218280927903;0;0;0.00325283198278575;0;0;0.00578388298295763;0.021328600179811;0;0;0.0204652275039829;0.0446861997367072;0;0;0;0;0;0.0316309212096957;0
"HSF4";0;0;0.00227411095538948;0.000243051105553484;0.000818157804932461;0;0;0.00159020675055435;0.00120257630837443;0;0;0;0;0.00083079270433406;0;0.00228843180512204;0.00204433164174964;0.00158805304754892;0.0018148336337012;0;0.00258117912450203;0.00149827969142;0;0;0.00206067729658439;0;0.00433721284240121;0;0.00129355704755237;0.000201197824132852;0;0;0;0.00651533984899993;0;0.000969299006369719;0.00169198407469607;0.0046093327295461;0;0;0.00239863646004904;0;0.000492542707118177;0.000620090855244924;0.00474067999597831;0;0;0.00178486322695299;0.00442357629745313;0;0.000395767410245966;0;0;0.000802993311374249;0;0.00426740353494874;0.000621540531312503;0.000746778829505676;0.000536794188981838;0.00267359369237153;0.00222589802742435;0.000320339548484932;0.00237388950029545;0;0.000517386612598549;0;0;0.00157637741080791;0;0;0.00796928404572193;0.00289126665032432;0.00236065171629952;0;0.000922877373183704;0;0.00272823809391039;0.000178122375125076;0;0.00181131240601237;0.000424765716576371;0;0.00049058058113041;0;0;0.00342828495364211;0.000752547609411863;0;0.0017439681508983;0;0.000968572540345007;0;0.000879031901934933;0.00331739686351119;0;0.00155000845659042;0.000458101853749182;0;0.00235689811585895;0;0;0;0.00273093874851147;0;0;0.00445627831878336;0.00352347414334047;0.00241105441081846;0.00285065052028483;0;0;0.00112619159340025;0;0.00268343307061096;0.00117293983554073;0.00160199468256497;0;0;0;0.00256874393858717;0.00417975708283102;0.00012439477176545;0;0.000240638938041834;0;0;0;0;0;0;0;0.00615468695939299;0.00304559989709346;0.0025110962328887
"NOTCH4";0.00421271539310657;0;0;0.00168684787315632;0;0;0;0.0337377163591939;0;0;0.0236200534838474;0.00641154217496217;0.0126868992286478;0.0124908741762646;0.0281993174374327;0.0237548943777913;0;0;0.0136666363551453;0;0.0205316648048756;0.0255910467833585;0.011321947649417;0;0.0168271721434067;0;0.0199202274251392;0;0;0.0244618505898352;0;0;0;0.0431765707744655;0.0100813054613854;0.0123087818087191;0;0.012142250494245;0.0834544862678522;0.00539418434058638;0;0.0145509181157488;0;0;0.00484664890623173;0;0;0.0210357885118428;0.046958629272997;0.00541830253829273;0;0.0190819758456414;0.00739134660317438;0;0.00151021931290915;0.0492453164042195;0.000783668575120341;0;0;0;0;0.0277014727201967;0;0;0;0.0449506038317181;0.0133788378915941;0.0126087095258519;0;0;0;0;0.0552228604469073;0.00710398465098184;0.0169155637533456;0;0;0;0;0.0140345833484838;0.00781575635726721;0;0;0;0;0.039238219865897;0.0174306675899917;0.00179082088233746;0;0;0.0184574998511514;0.019953119177289;0;0;0.00741421150386575;0.0216274803760879;0;0.00118039071582544;0;0;0;0.0559751504029326;0.0531613286925701;0;0.035711220930679;0;0.00131460930938175;0.00531957693784595;0;0;0;0.039018457728034;0.00494511972358984;0;0;0;0;0.00504131869814528;0;0;0.0495431581335841;0;0;0.0320279627523986;0;0.0270058131625978;0.00298941766020775;0;0;0;0;0.0322198469390577;0;0
"BCL6B";0.00171123292355329;0;0.0385289290985418;0.0144760125282027;0;0;0;0;0;0.0427953036833461;0;0;0;0;0;0;0;0.0300845380641744;0.0045654357233752;0;0;0;0;0;0;0;0;0;0.00631318371000972;0;0;0;0;0.0229692731541724;0.0106033060360685;0;0;0;0.0527790998234757;0;0;0;0;0;0;0;0.00838635971172211;0.0159289838139992;0;0;0;0;0.0140813248764603;0;0;0;0.0159281029737152;0;0;0;0;0;0;0;0.0106117416637545;0;0;0;0;0;0;0;0.00260301729863476;0.0398365162236091;0.0267887428391692;0;0;0;0;0.0212624006578213;0;0;0;0.0867089985125171;0.0522268551304517;0.0238398479823434;0;0.00694968264605613;0;0;0.00937254925577083;0;0;0;0;0;0;0;0;0;0;0;0.0589769007476031;0;0;0;0;0;0;0;0;0.0174113038207229;0;0;0;0;0;0.0158000593859644;0;0.0303276364291898;0;0;0;0;0;0;0.0131454584140314;0;0;0;0;0;0;0
"LZTS1";0;0;0;0;0;0.00199961207857065;0;0;0;0;0.00206644735058497;0;0;0;0;0;0;0;0.00498212674984251;0;0;0;0;0;0;0;0;0;0;0.0190838546196816;0;0;0;0;0;0;0.0327116839045322;0;0.00804833257099725;0;0;0;0;0.00960767318107921;0;0.0250244916889514;0;0;0;0;0.055999783050857;0;0;0;0;0;0;0.00952894817494841;0;0;0;0;0.186808493311303;0;0;0;0;0;0;0;0;0.104967498019828;0;0;0.0105383927834334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00334908000412871;0;0.0221396708713166;0;0.00405698574571603;0;0;0;0;0;0;0;0;0.0189332531496544;0;0;0;0;0;0.0223311567714743;0;0.00960617444324291;0;0;0;0;0;0;0;0;0.101425773949335;0;0.00372742225242852;0
"TWIST2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00372470667629454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"NFATC4";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.98771953861335e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00393298995245984;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00283991714183957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00337060180217853;0;0
"PRDM6";0;0;0;0;0.00231743735106704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0134964238321674;0;0;0;0;0;0;0;0.00699850067972961;0;0;0.00368680301432295;0;0;0.00645815673624611;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00479133485405191;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0488897179986768
"TCF21";0;0.0696341094561814;0.0764242668683567;0;0;0;0;0;0;0;0;0;0;0.156360420864828;0;0;0;0;0;0.00669011552079034;0;0;0.0146420698605046;0;0;0.0949882829103952;0;0;0;0;0;0;0.0226711497397025;0;0;0;0;0;0;0;0.270223025878384;0;0.0354407921437364;0;0;0;0;0;0;0.00365566490033106;0;0;0.0306544839780305;0;0;0;0;0;0;0;0.546384279791431;0;0;0;0;0;0.0144604573460319;0;0;0;0;0;0.0151363956145783;0.0338244431093832;0;0;0;0;0;0;0;0;0;0;0;0;0.00649793783663401;0;0.0941595942021519;0.0137073042609134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0368476234391156;0;0;0;0;0;0;0;0;0;0.0691713947925675;0;0;0;0;0;0;0;0.0167602067410716;0
"TBX5";0;0;0;0;0.00958432129864615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00447461885915282;0;0;0;0;0;0;0;0;0;0.00430518293032645;0;0;0;0;0;0.0473940324308782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00445601061119563;0;0;0.0541918357163459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00614693468740839;0;0;0;0.0220385147692787;0;0;0;0.00282064990178245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.06522644244567e-05;0;0;0;0;0;0;0.00587904098446679;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00726311621076736;0;0;0;0
