"TCGA-4Z-AA7R-01";"TCGA-BL-A3JM-01";"TCGA-BT-A0S7-01";"TCGA-BT-A2LA-01";"TCGA-C4-A0EZ-01";"TCGA-DK-AA6W-01";"TCGA-FJ-A871-01";"TCGA-G2-A2EL-01";"TCGA-GD-A3OS-01";"TCGA-GV-A3JZ-01";"TCGA-K4-A3WV-01";"TCGA-XF-A9ST-01";"TCGA-XF-A9T2-01";"TCGA-XF-AAMG-01";"TCGA-XF-AAMH-01";"TCGA-XF-AAN7-01";"TCGA-YC-A9TC-01";"TCGA-ZF-AA4R-01"
"NR2F6";0;0;0;0;0.122454520407809;0;0;0;0;0.0473866896241181;0;0;0;0;0;0;0;0.0356302540516914
"ZNF444";0;0;0;0;0;0;0;0;0;0;0.016606639614872;0;0.0311851714665387;0;0;0;0;0
"HDAC10";0.0260656565460993;0;0;0;0;0;0.0360718665982175;0;0;0;0;0;0.013550533011937;0;0.0491668293302518;0;0;0
"ZNF266";0;0.0129707320886662;0;0;0;0;0;0;0.00140115048163822;0.0500187531930281;0;0;0;0.00786178993817189;0;0;0;0.0150183743855528
"ZNF141";0;0;0.00185645440251677;0;0;0;0;0;0;0.0132721793832011;0;0;0;0;0;0;0;0.00782339128340538
"MDM4";0;0.00605142536182929;0;0;0;0;0;0;0.0420225038004809;0;0.0322081911129887;0;0;0;0;0;0;0
"ZNF224";0;0;0;0;0;0;0;0;0.0246937347595651;0;0;0;0;0;0;0;0;0
"SS18L1";0;0;0;0;0;0;0;0;0.021851051071904;0.0106850798489915;0.00888838308815043;0.0170436571444547;0;0;0;0;0;0
"ZNF84";0;0;0;0;0;0;0;0;0;0.00281420179065168;0;0;0;0;0;0;0;0
"ZNF211";0;0;0;0.119024543738511;0;0;0;0.621291493344413;0.019453359044585;0;0;0;0;0;0;0;0;0
"ZNF333";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ZNF443";0;0.15540787863995;0.204066132829;0.00663273093938739;0;0.0751816984866365;0.873467050269444;0.251589697316929;0.22846803114392;0;0;0;0;0.0246089095710277;0.416956696954874;0.38673818199533;0.204988501568436;0.13343098840882
"HIC1";0;0;0;0.0346442725748591;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MEIS3";0;0;0;0;0;0;0;0;0;0;0.00599089268188254;0;0;0;0;0;0;0
"TGFB1I1";0;0;0;0.0244547081036008;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MSC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"PRRX2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TWIST1";0.0827548236554859;0;0.00979723412459388;0;0;0.0762364363377087;0;0;0;0.071875967159415;0;0.0824018699308691;0;0;0;0;0;0
"AEBP1";0;0;0.185454119606274;0.0547810349724487;0;0.0543166595700464;0;0;0;0.029835556309364;0;0;0;0.049248903090173;0.154303676025837;0;0;0
"NAP1L3";0;0;0;0;0;0;0;0.018698250463659;0;0;0;0;0;0;0;0;0;0
"GLIS2";0.0458198502946047;0.00567342783218301;0;0;0;3.45495655080719e-05;0;0;0;0;0;0;0;0;0;0;0;0
"TBX5";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TWIST2";0;0;0;0.107895875257142;0;0;0;0;0;0.030994120816482;0;0;0;0;0;0.0420202039111968;0;0.216772907634268
"PRRX1";0;0;0;0;0.309034150269276;0;1;0;0.0947399049961633;0;0.0442305672211164;0;0;0.492596622131302;1;0;0.194400138671744;0
"HAND2";0;0.00943709612371453;0.0449416260201227;0;0;0;0.218573980849355;0.245764902051274;0;0.084132258042413;0;0;0.017774685610026;0.0143801960609939;0;0;0.159656011709163;0
"CSDC2";0;0.167302919646978;0.390875732946709;0;0.189772570412206;0.313859581992826;0.102739018142648;0;0;0.0738929860225524;0;0;0;0;0.302262482767951;0;0.195808924990655;0
"GLIS1";0;0;0;0;9.38400123125348e-05;0;0;0;0.00919616133486021;0;0;0;0;0;0;0;0;0
