;BasalSquamous;Luminal;LuminalInfiltrated;LuminalPapillary;Neuronal
FAIM3;0.740458015267176;0.636363636363636;0.364864864864865;0.0522388059701493;0.888888888888889
SMARCA2;0.099236641221374;0.681818181818182;0.175675675675676;0.440298507462687;0.833333333333333
RARB;0.229007633587786;0.704545454545455;0.581081081081081;0.835820895522388;0.777777777777778
ZNF235;0.519083969465649;0;0.283783783783784;0.5;0.777777777777778
TBX2;0.259541984732824;0.795454545454545;0.743243243243243;0.76865671641791;0.722222222222222
STAT3;0;0;0;0.343283582089552;0.722222222222222
HIF1A;0;0;0.608108108108108;0.0597014925373134;0.722222222222222
THRA;0.229007633587786;0.340909090909091;0;0.0149253731343284;0.722222222222222
PIR;0;0.522727272727273;0.608108108108108;0.723880597014925;0.666666666666667
PRDM8;0.557251908396947;0.75;0.216216216216216;0.671641791044776;0.666666666666667
FOSL1;0.587786259541985;0.409090909090909;0.621621621621622;0.634328358208955;0.666666666666667
RORC;0.633587786259542;0.590909090909091;0;0.619402985074627;0.666666666666667
NAP1L2;0.587786259541985;0;0;0.611940298507463;0.666666666666667
NR3C2;0;0.613636363636364;0;0.552238805970149;0.666666666666667
NCOA1;0.183206106870229;0;0;0.537313432835821;0.666666666666667
ZNF582;0.480916030534351;0.386363636363636;0.405405405405405;0.514925373134328;0.666666666666667
TEAD4;0.419847328244275;0.318181818181818;0.459459459459459;0.477611940298507;0.666666666666667
LMO3;0.755725190839695;0.431818181818182;0;0.41044776119403;0.666666666666667
ZNF443;0.274809160305344;0.477272727272727;0.554054054054054;0.32089552238806;0.666666666666667
SOX15;0.366412213740458;0.454545454545455;0.567567567567568;0.283582089552239;0.666666666666667
ZNF423;0;0.613636363636364;0.635135135135135;0.111940298507463;0.666666666666667
SMAD6;0.16793893129771;0.295454545454545;0.310810810810811;0;0.666666666666667
TCF7L1;0.099236641221374;0.318181818181818;0.283783783783784;0;0.666666666666667
PPARGC1B;0;0;0;0;0.666666666666667
TBX18;0;0;0;0.805970149253731;0.611111111111111
ZFP2;0;0;0;0.746268656716418;0.611111111111111
SPIB;0.473282442748092;0.5;0;0.716417910447761;0.611111111111111
HOXA5;0.519083969465649;0.613636363636364;0.513513513513513;0.634328358208955;0.611111111111111
IFI16;0.793893129770992;0.295454545454545;0.297297297297297;0.58955223880597;0.611111111111111
TEAD2;0.793893129770992;0.522727272727273;0.608108108108108;0.529850746268657;0.611111111111111
MESP2;0.694656488549618;0.613636363636364;0.459459459459459;0.485074626865672;0.611111111111111
MLXIP;0.0916030534351145;0.272727272727273;0.202702702702703;0.313432835820896;0.611111111111111
ZNF671;0.694656488549618;0.522727272727273;0.594594594594595;0.276119402985075;0.611111111111111
ZNF670;0.114503816793893;0.409090909090909;0.432432432432432;0.201492537313433;0.611111111111111
KLF12;0.541984732824427;0;0.148648648648649;0.201492537313433;0.611111111111111
PIAS3;0.625954198473282;0;0.608108108108108;0.17910447761194;0.611111111111111
SNAI3;0;0.681818181818182;0;0.0522388059701493;0.611111111111111
TRERF1;0.564885496183206;0.204545454545455;0.324324324324324;0;0.611111111111111
HOXA3;0.488549618320611;0.613636363636364;0.486486486486487;0.634328358208955;0.555555555555556
HOXC9;0.748091603053435;0.5;0.540540540540541;0.626865671641791;0.555555555555556
SPDEF;0.473282442748092;0.0909090909090909;0.189189189189189;0.619402985074627;0.555555555555556
HOXA9;0.206106870229008;0.477272727272727;0.5;0.604477611940298;0.555555555555556
IRX3;0.816793893129771;0.568181818181818;0.716216216216216;0.582089552238806;0.555555555555556
SNAI1;0.0763358778625954;0.0681818181818182;0.148648648648649;0.582089552238806;0.555555555555556
HIC2;0.625954198473282;0.477272727272727;0.5;0.537313432835821;0.555555555555556
ETV7;0.297709923664122;0.5;0.486486486486487;0.537313432835821;0.555555555555556
VAX2;0.587786259541985;0;0.554054054054054;0.447761194029851;0.555555555555556
LDB2;0.106870229007634;0.318181818181818;0.202702702702703;0.402985074626866;0.555555555555556
TBX4;0.564885496183206;0.409090909090909;0;0.373134328358209;0.555555555555556
POLR1E;0;0.113636363636364;0.175675675675676;0.208955223880597;0.555555555555556
ZNF626;0.656488549618321;0.545454545454545;0.513513513513513;0.156716417910448;0.555555555555556
ZNF350;0.206106870229008;0.181818181818182;0.162162162162162;0.156716417910448;0.555555555555556
NR2F1;0.297709923664122;0.295454545454545;0;0.0223880597014925;0.555555555555556
ZNF215;0.702290076335878;0.409090909090909;0.621621621621622;0;0.555555555555556
BCL3;0.633587786259542;0;0.378378378378378;0;0.555555555555556
GTF2IRD1;0;0;0.121621621621622;0;0.555555555555556
MESP1;0.694656488549618;0.659090909090909;0;0;0.555555555555556
SNAPC3;0;0;0;0;0.555555555555556
MYOCD;0.221374045801527;0.363636363636364;0.351351351351351;0.738805970149254;0.5
SMARCD3;0.67175572519084;0.613636363636364;0.702702702702703;0.723880597014925;0.5
DLX5;0.587786259541985;0.522727272727273;0.608108108108108;0.641791044776119;0.5
SNAPC4;0;0;0;0.597014925373134;0.5
ZNF347;0.610687022900763;0.5;0.621621621621622;0.582089552238806;0.5
HOXD3;0.343511450381679;0.454545454545455;0.459459459459459;0.537313432835821;0.5
CBX7;0;0.522727272727273;0;0.537313432835821;0.5
FOXD4L1;0.603053435114504;0.340909090909091;0.5;0.522388059701492;0.5
NFKBIA;0.320610687022901;0.340909090909091;0.216216216216216;0.507462686567164;0.5
JRK;0.251908396946565;0.159090909090909;0.567567567567568;0.477611940298507;0.5
ZNF695;0.50381679389313;0.409090909090909;0.310810810810811;0.470149253731343;0.5
NOTCH4;0.786259541984733;0.568181818181818;0.486486486486487;0.462686567164179;0.5
SP4;0.190839694656489;0.386363636363636;0.689189189189189;0.432835820895522;0.5
TRIM16;0;0.659090909090909;0.581081081081081;0.380597014925373;0.5
NFKBIZ;0.541984732824427;0.522727272727273;0.581081081081081;0.365671641791045;0.5
ZNF358;0.129770992366412;0.431818181818182;0.459459459459459;0.328358208955224;0.5
HMGA2;0;0.477272727272727;0.405405405405405;0.328358208955224;0.5
DNMT1;0.0381679389312977;0.5;0.540540540540541;0.298507462686567;0.5
APBB2;0.183206106870229;0.613636363636364;0.189189189189189;0.276119402985075;0.5
ZNF677;0.396946564885496;0.181818181818182;0.527027027027027;0.17910447761194;0.5
MYBL2;0.183206106870229;0.0909090909090909;0.0135135135135135;0.082089552238806;0.5
ID2;0.389312977099237;0.409090909090909;0.554054054054054;0;0.5
ZNF570;0;0.5;0.540540540540541;0;0.5
ID4;0.603053435114504;0.477272727272727;0.527027027027027;0;0.5
NMI;0;0.568181818181818;0.391891891891892;0;0.5
CBFA2T2;0.564885496183206;0.409090909090909;0;0;0.5
STAT5A;0;0;0;0;0.5
SMAD3;0.33587786259542;0.5;0.297297297297297;0.664179104477612;0.444444444444444
MKX;0.0763358778625954;0.454545454545455;0;0.634328358208955;0.444444444444444
HOXC6;0;0.522727272727273;0.527027027027027;0.597014925373134;0.444444444444444
IRX5;0.511450381679389;0.522727272727273;0.581081081081081;0.58955223880597;0.444444444444444
HLF;0.190839694656489;0.25;0.486486486486487;0.58955223880597;0.444444444444444
ENO1;0.633587786259542;0;0.797297297297297;0.537313432835821;0.444444444444444
EIF2AK2;0.67175572519084;0.363636363636364;0.432432432432432;0.514925373134328;0.444444444444444
EMX2;0.564885496183206;0.636363636363636;0.608108108108108;0.5;0.444444444444444
IRF9;0.488549618320611;0.431818181818182;0.513513513513513;0.425373134328358;0.444444444444444
NFKBIE;0.488549618320611;0.25;0.310810810810811;0.425373134328358;0.444444444444444
ZNF432;0.312977099236641;0.477272727272727;0.608108108108108;0.41044776119403;0.444444444444444
ZNF568;0;0.113636363636364;0.297297297297297;0.358208955223881;0.444444444444444
HOXB4;0.0229007633587786;0.454545454545455;0.324324324324324;0.313432835820896;0.444444444444444
HAND2;0.32824427480916;0.159090909090909;0.148648648648649;0.313432835820896;0.444444444444444
ZNF585A;0.343511450381679;0.5;0.297297297297297;0.208955223880597;0.444444444444444
TCF21;0.00763358778625954;0.318181818181818;0.27027027027027;0.156716417910448;0.444444444444444
PTTG1;0.610687022900763;0.477272727272727;0.0945945945945946;0.156716417910448;0.444444444444444
ZNF491;0;0.113636363636364;0.364864864864865;0.0597014925373134;0.444444444444444
