"";"Basal_squamous";"Basal_squamous";"Luminal";"Luminal";"Luminal_infiltrated";"Luminal_infiltrated";"Luminal_papillary";"Luminal_papillary";"Neuronal";"Neuronal"
"ABL1";-0,300118848867946;1,48249619632509e-06;0,160358600326967;0,178821777598552;-0,201929468748276;0,0199101304646623;0,42482467822054;3,44759476692173e-12;-0,321554578195631;0,0537736662749064
"PARP1";-0,0688575062767853;0,288740777173987;0,00152077435061848;0,990838295938207;0,0461129234231752;0,643936163900805;0,176260552048848;0,0045587998044354;-0,726789799635599;1,05432510448582e-06
"AEBP1";-1,27663576510059;2,3213799661326e-08;-0,782492694529193;0,0666561331850462;-2,36889830620612;1,61791047200554e-17;3,21541519062987;5,15422741311968e-62;-0,039530203003876;0,959671663261324
"AES";0,769963023889339;8,07801217147682e-28;-0,0644584963590837;0,693968889473367;-0,147906943432563;0,187558471781866;-0,626787459654066;6,80180562317693e-18;-0,0314511380149067;0,90007470666994
"AHR";0,818521780356301;2,23933404787049e-12;-0,570392648759077;0,00830355302295324;0,0325219129901591;0,883779391127022;-0,844665120673675;3,98322195393642e-13;1,36960774476794;4,23687374669955e-06
"ALX3";-0,0546101071347511;0,676396609154409;0,331522784002011;0,140725095605206;0,491160730371651;0,00201501073078269;-0,128932579845217;0,317400388919757;-1,53004901560469;1,12826046530589e-07
"BIN1";-1,64699957529047;2,23261789227238e-23;0,7719197574364;0,0153051538899158;-1,10271403794825;9,11618547059984e-07;2,06585677395925;1,67973740103082e-39;-0,159514061536127;0,779404003652957
"APBB1";-0,130960484525843;0,48114525601028;0,268340581279043;0,441947259992142;-1,26024303558202;2,93014962842668e-09;1,23713766755116;7,57146904986301e-14;-1,93646243221416;4,94061655893924e-06
"APBB2";-0,46011473808835;2,39960989350732e-08;0,126871408553411;0,456838462630968;-0,274650176358977;0,017076642831481;0,649091204915822;6,28978867131121e-16;-0,333019721687958;0,148949559668665
"APC";-0,0199698871944225;0,780922941499061;0,0863932613180101;0,502045715064428;0,111149479494125;0,239528464442513;-0,0850856812008178;0,207948643883463;-0,0429547492766833;0,8326778971643
"APEX1";0,160257674791801;0,000981094672382284;-0,18042628000449;0,038592142300552;0,151496606682219;0,0231842842626839;-0,111185119838275;0,0260290866120857;-0,365841546562065;0,00296360315614059
"AR";1,98665212546568;1,48744445154311e-14;-0,0299794231907171;0,962448416104235;-0,919182045419481;0,0125309327479564;-1,34428203927533;4,69520973664785e-07;0,0784915924008809;0,931183051973698
