gene ; activator ; inhibitor
AURKAIP1 ; BOLA2 SCAND1 TCEB2 ZNF593 POLR2I PPAN NME2 ; REST SHPRH JMJD1C NCOA2 ATF2 EPC1 GTF2A1 APC ASH1L ZNF641
C1orf86 ; ZNF444 POLR2I NME2 ; NCOA2
CCNL2 ; HDAC10 ANKS3 ZNF337 ; 
GABRD ; NOTCH4 ; 
GLTPD1 ; NR2F6 ; 
ISG15 ; IRF9 ; 
MMEL1 ; SPOCD1 ; 
MMP23B ; TGFB1I1 ZNF469 MEIS3 GLIS1 PTRF TWIST2 CREB3L1 GLI2 TBX5 HIC1 TCF21 TCF7L1 MSC AEBP1 PRRX2 ZFPM2 NAP1L3 HAND2 GLIS2 CSDC2 PRRX1 TWIST1 TRPS1 ; 
MXRA8 ; TGFB1I1 ZNF469 MEIS3 GLIS1 PTRF TWIST2 CREB3L1 GLI2 HIC1 MSC AEBP1 PRRX2 ZFPM2 HAND2 GLIS2 CSDC2 PRRX1 TWIST1 TRPS1 ; 
PRKCZ ;  ; ELK3 RORA SETBP1
SAMD11 ; PRRX2 ; 
SLC35E2 ; ZNF195 ZNF443 CRAMP1L ZNF84 ZKSCAN1 ; 
TNFRSF18 ; RUNX3 ; 
TNFRSF4 ; HIC1 MSC AEBP1 ; 
KCNAB2 ; SPI1 CIITA MNDA RUNX3 IRF8 TFEC FOXP3 ; 
ESPN ; HES2 ; 
THAP3 ; SCAND1 TCEB2 ZNF444 POLR2I PPAN NME2 DRAP1 ZNF688 ANKS3 GLI4 ; GTF2H3 ASCC3 NCOA2 CLOCK GTF2A1 ETV3 ATF7IP
TNFRSF9 ; TBX21 IRF4 SLA2 IRF8 FOXP3 ; 
SPSB1 ; PTRF HIC1 GLIS2 ; 
PIK3CD ; SPI1 TBX21 IRF4 SLA2 VENTX BACH2 STAT4 FLI1 MNDA RUNX3 IRF8 EOMES FOXP3 TRPS1 ; 
CORT ; MXD3 ; 
MASP2 ; ZKSCAN1 ; 
FBXO44 ;  ; MCM4
MTHFR ; JRK ; 
TNFRSF8 ; SPIB SPI1 TBX21 IRF4 TWIST2 BIN1 SLA2 VENTX HIC1 STAT4 MSC RUNX3 IRF8 TFEC AEBP1 FOXP3 CSDC2 PRRX1 TWIST1 ; 
DHRS3 ; SPOCD1 ; 
