gene ; activator ; inhibitor
C1orf170 ; TBX6 ; DNMT1
CCNL2 ; HDAC10 ZNF266 MDM4 ZNF224 ZNF84 ZNF443 ; 
GABRD ; NOTCH4 ; 
MMEL1 ;  ; HMGA2
MMP23B ; GLIS1 MSC HIC1 MEIS3 TGFB1I1 PRRX2 GLIS2 HAND2 TWIST2 AEBP1 CSDC2 NAP1L3 ; 
MXRA8 ; ZNF469 GLIS1 MSC HIC1 MEIS3 TGFB1I1 PTRF TWIST1 PRRX2 ETV1 GLIS2 ZFPM2 HAND2 TWIST2 AEBP1 CSDC2 PRRX1 NAP1L3 ; 
PLEKHN1 ; TBX6 ; 
SLC35E2 ; ZNF345 MDM4 MLLT6 ZNF195 ZSCAN16 ZFP62 SS18L1 ZNF248 ZNF20 ZNF397 ZNF627 ZNF253 ZNF333 ZNF84 ZKSCAN1 ZNF443 ; 
TNFRSF18 ; RUNX3 ; 
TNFRSF4 ; SLA2 MNDA SPI1 STAT4 TBX21 FLI1 TFEC FOXP3 AEBP1 IRF4 HCLS1 ; 
KCNAB2 ; MNDA SPI1 STAT4 TOX FLI1 IRF8 TFEC RUNX3 FOXP3 ; 
GPR153 ; HES2 ; 
ESPN ; HES2 ; 
PLEKHG5 ; HES2 ; 
THAP3 ; TCEB2 SCAND1 POLR2I ETV2 ZNF580 ANKS3 ZNF688 ZNF446 GLI4 ZNF444 ; ZNF281 ASCC3 BACH1 CLOCK
TNFRSF9 ; IRF1 SLA2 CIITA MNDA SPI1 EOMES STAT4 SP140 TBX21 IRF8 TFEC RUNX3 STAT1 TNFAIP3 FOXP3 IRF4 PRRX1 ; 
SLC2A5 ; VENTX SPI1 TBX21 IRF8 RUNX3 AEBP1 PRRX1 ; 
PIK3CD ; SLA2 CIITA MNDA SPI1 EOMES STAT4 TBX21 FLI1 PTRF IRF8 TFEC RUNX3 STAT1 FOXP3 AEBP1 IRF4 PRRX1 ; 
CLSTN1 ; SOX7 HES2 ; TBX2
MASP2 ; ZNF397 ZKSCAN1 ; 
MTHFR ; ZBTB40 ; 
TNFRSF8 ; LYL1 SLA2 MSC MNDA SPI1 STAT4 TBX21 IRF8 TFEC RUNX3 FOXP3 AEBP1 IRF4 PRRX1 HCLS1 ; 
TNFRSF1B ; LYL1 SLA2 CIITA BIN1 VENTX MSC MNDA SPI1 STAT4 TBX21 FLI1 PTRF IRF8 TFEC RUNX3 TNFAIP3 FOXP3 DAB2 IRF4 HCLS1 ; 
PDPN ; ZNF469 GLIS1 MSC HIC1 PTRF TWIST1 PRRX2 ZFPM2 TSHZ3 AEBP1 PRRX1 ; 
TMEM51 ; SPOCD1 ; 
DDI2 ; GTF2H3 GTF3C4 GTF2I BRCA2 NCOR1 VHL RBL1 ATF7IP EYA3 ZBTB26 BDP1 TAF1L ATF2 ZNF689 ZNF551 REST ZBTB39 ZNF430 EPC1 SHPRH ADNP ZNF623 CLOCK ZNF121 NCOA2 GTF2A1 REL ETV3 ZNF641 ZKSCAN1 ; POLR2I ZNF688
RSC1A1 ; NCOA2 GTF2A1 ETV3 ; 
