gene ; activator ; inhibitor
C1orf159 ; NR2F6 ; 
C1orf170 ;  ; DNMT1
C1orf86 ; TCEB2 ZNF444 ; GTF2A1
CCNL2 ; HDAC10 TAF1C ZNF266 MDM4 ZNF141 SS18L1 ZNF211 ZNF224 ZNF84 ZNF443 ; 
GABRD ; NOTCH4 SOX17 ; 
MMEL1 ;  ; HMGA2
MMP23B ; HAND2 GLIS2 AEBP1 MEIS3 ZFPM2 PRRX1 PRRX2 CSDC2 ; 
MXRA8 ; PTRF MSC HIC1 TWIST2 GLIS1 GLI2 ZNF469 GLIS2 AEBP1 MEIS3 ZFPM2 PRRX1 PRRX2 TWIST1 NAP1L3 CSDC2 ; 
PLEKHN1 ; TEAD3 ZNF440 ; DNMT1
PRKCZ ; OVOL2 ZNF524 FOXH1 GATA3 NR2F6 ZNF554 NKD2 ; WWTR1 IRF8 MCM8 FLI1 SPI1 ELK3 EGR3 HIVEP3 NFIC TFEC MNDA CREB5 NFATC1 ZBTB38 DAB2 DNMT1 MAFB
SLC35E2 ; ZSCAN16 ZNF195 ZNF345 MDM4 ZFP62 ZNF397 ZNF253 SS18L1 ZNF248 CRAMP1L ZNF566 ZNF627 ZNF224 ZNF440 ZKSCAN1 ZNF84 ZNF518A ZNF33A ZNF443 ; 
TNFRSF18 ; RUNX3 ; 
TNFRSF4 ; MSC VENTX IRF8 SLA2 FLI1 SPI1 AEBP1 RUNX3 TFEC MNDA IRF4 PRRX1 FOXP3 HCLS1 ; 
ARHGEF16 ;  ; HMGA2
KCNAB2 ; IRF8 SPI1 RUNX3 TFEC MNDA FOXP3 ; 
GPR153 ; HES2 ; 
ESPN ; HES2 ; 
THAP3 ; SCAND1 TCEB2 POLR2I ANKS3 ZNF688 GLI4 AES ZNF444 ; ASCC3 ELK3 GTF2H3 BACH1 ATF7IP CLOCK GTF2A1
TNFRSF9 ; TBX21 SP140 IRF1 IRF8 EOMES SLA2 SPI1 STAT4 RUNX3 TFEC MNDA IRF4 STAT1 FOXP3 ; 
SLC2A5 ; SPI1 AEBP1 RUNX3 TFEC ; 
PIK3CD ; PTRF TBX21 TEAD4 VENTX IRF8 EOMES SLA2 BIN1 SPI1 PDLIM4 STAT4 RUNX3 TFEC MNDA IRF4 CREB5 FOXP3 ; 
