gene ; activator ; inhibitor
C1orf86 ; ZNF444 ; 
CCNL2 ; HSF4 ; 
GABRD ; NOTCH4 BCL6B LZTS1 ; 
MMP23B ; TWIST2 NFATC4 PRDM6 TCF21 TBX5 HAND2 ; 
MXRA8 ; AEBP1 TWIST2 MEIS3 TWIST1 GLIS2 ZNF469 CREB3L1 PRRX2 NFATC4 ETV1 PRDM6 PRRX1 TCF21 ZFPM2 TBX5 NDN ; 
PUSL1 ; NR2F6 ; 
SAMD11 ; TBX2 ; 
SLC35E2 ; ZNF587 ZNF91 ZNF443 ZNF333 ZKSCAN1 ; 
TNFRSF4 ; LYL1 ZBTB32 TBX21 SPI1 CIITA TFEC ; 
KCNAB2 ; SNAI3 STAT4 SPI1 IRF8 TOX TFEC FLI1 ; 
ESPN ; HES2 ; 
PLEKHG5 ; HES2 ; 
THAP3 ; POLR2I SCAND1 ANKS3 ; JMJD1C GTF2A1
TNFRSF9 ; SLA2 IRF1 RUNX3 STAT4 FOXP3 CIITA SP140 IRF8 TFEC IRF4 ; 
SLC45A1 ; APBB1 SMARCD3 ; 
SLC2A5 ; SPI1 ; 
PIK3CD ; SLA2 RUNX3 STAT4 SPI1 TFEC FLI1 ; 
KIF1B ; MTF1 KLF13 HIPK2 APC ; 
PGD ; RARB ; 
SRM ; NME2 PPAN ; 
FBXO6 ; ETV7 ; 
MAD2L2 ; RUVBL1 ; 
MIIP ; TFPT ; ASH1L
TNFRSF8 ; STAT4 VENTX SPI1 IRF8 TFEC ; 
TNFRSF1B ; MNDA STAT5A SLA2 TBX21 RUNX3 STAT4 VENTX SPI1 CIITA SP140 IRF8 TFEC FLI1 IRF4 HCLS1 ; 
DDI2 ; RBL1 BARD1 BRCA2 BDP1 NR2C2 ZNF623 CLOCK ATF2 ZNF121 NCOR1 TAF1 BTAF1 ZBTB43 ZNF292 ZNF430 ZNF236 PHF8 TAF1L REL SHPRH GTF2A1 ETV3 ADNP NCOA2 REST ASH1L ZKSCAN1 APC ; ZNF688
HSPB7 ; CSDC2 MEOX2 PRDM6 TCF21 CBX7 FOXF1 AFF3 ZFPM2 TBX4 TBX5 NAP1L3 MEIS1 PKNOX2 LMO3 HAND2 MYOCD NR3C2 RUNX1T1 ; 
ARHGEF10L ; TBX3 ; 
IGSF21 ; SPI1 PTRF ; 
NBL1 ; AEBP1 TGFB1I1 ; 
OTUD3 ; ZNF77 SS18L1 ; 
PLA2G2A ; LMO3 MYOCD ; 
PLA2G5 ; CSDC2 PRDM6 FOXF1 ZFPM2 TBX4 TBX5 LMO3 HAND2 MYOCD RUNX1T1 ; 
PLA2G2F ; TBX3 ; 
CAMK2N1 ; TBX3 ; 
FAM43B ; MEIS3 PRRX2 LDB2 TBX5 EBF3 ; 
RAP1GAP ; PIR ; 
HSPG2 ; TSHZ3 LDB2 TCF4 RUNX1T1 ; 
C1QA ; MNDA NR1H3 SLA2 TBX21 STAT4 VENTX SPI1 CIITA IRF8 TFEC FLI1 IRF4 ; 
C1QC ; MNDA SLA2 IRF1 TBX21 RUNX3 STAT4 VENTX STAT1 SPI1 CIITA SP140 IRF8 TFEC FLI1 IRF4 ; ZNF443
C1QB ; MNDA SLA2 IRF1 TBX21 STAT4 SPI1 CIITA IRF8 TFEC IRF4 ; 
ASAP3 ; TCEA3 ; 
RPL11 ; NME2 ; 
STMN1 ; EZH2 HMGB2 MXD3 ; 
CNKSR1 ; TRIM29 IRF6 OVOL2 EHF OVOL1 GRHL1 ZNF165 ELF3 KLF5 RARG NR2F6 TBX6 SOX13 FOXQ1 GRHL3 ZNF440 ; POLR1E PGBD1 ETV5 TOX FLI1 SP4
SH3BGRL3 ;  ; SHPRH
AIM1L ; GRHL1 ; 
CD52 ; MNDA SLA2 ZBTB32 TBX21 SNAI3 RUNX3 STAT4 SPI1 EOMES CIITA SP140 IRF8 TFEC FLI1 IRF4 HCLS1 ; 
ZNF683 ; SLA2 IRF1 TBX21 STAT4 STAT1 CIITA SP140 ; 
SFN ; TFAP2A BARX2 SOX15 ETS2 HES2 ; 
WASF2 ; KLF13 SOX7 ; 
FGR ; MNDA SLA2 SPI1 CIITA SP140 IRF8 TFEC FLI1 IRF4 HCLS1 ; 
IFI6 ; IRF9 ; 
TMEM200B ; PTRF ; 
LAPTM5 ; MNDA LYL1 SLA2 TBX21 SNAI3 RUNX3 STAT4 VENTX SPI1 CIITA SP140 IRF8 TFEC FLI1 IRF4 HCLS1 ; 
COL16A1 ; AEBP1 PTRF ; 
FAM167B ; NOTCH4 BCL6B MEF2C KLF2 LDB2 LZTS1 EBF3 ; 
LCK ; STAT5A SLA2 ZBTB32 TBX21 SNAI3 GFI1 RUNX3 STAT4 SPI1 EOMES CIITA SP140 IRF8 TFEC IRF4 ; 
SYNC ;  ; GTF3C4 BRCA2
CSMD2 ; AEBP1 ZNF469 CREB3L1 ETV1 PRRX1 RUNX1T1 ; 
GJB5 ; TRIM29 IRF6 TFAP2A ELL2 BARX2 SOX15 ETS2 HES2 ; PHF17 MYEF2
GJB3 ; TRIM29 IRF6 TFAP2A BARX2 ETS2 HES2 ; PHF17 SALL2 LZTS1 MYEF2
GJA4 ; SOX17 HEYL NOTCH4 BCL6B MEF2C KLF2 TCF21 FOXF1 EBF1 LDB2 FHL5 LZTS1 EBF3 ; 
CLSPN ; FOXM1 TRIP13 TIMELESS DEK WDHD1 MCM2 MCM4 BRCA1 DNMT1 E2F7 MCM8 BRIP1 RBL1 WHSC1 BARD1 BRCA2 TFDP1 ; 
COL8A2 ; AEBP1 ZNF469 PRRX1 GLI2 ; 
MAP7D1 ; PTRF ; 
CSF3R ; TFEC HCLS1 ; 
ZC3H12A ; NFKBIA NFKBIZ ; 
CDCA8 ; RAD51 FOXM1 PTTG1 TRIP13 MYBL2 ESPL1 CHAF1A MCM7 EZH2 SUV39H2 TIMELESS HMGB2 RUVBL1 WDHD1 MCM2 BRCA1 DNMT1 E2F7 WHSC1 ; 
FHL3 ; PTRF TGFB1I1 ; 
RRAGC ; GTF2H3 TAF13 ASCC3 ZNF281 KLF7 BARD1 BBX ZNF131 RREB1 CLOCK BACH1 GTF2A1 NCOA2 REST ZNF641 APC ; 
KIAA0754 ; TAF1L NCOA2 REST ; 
ZNF684 ; ZNF546 ; 
PPIH ; RUVBL1 ; 
LEPRE1 ; PRRX1 ; 
TMEM125 ;  ; SNAI2
C1orf210 ; GRHL1 ELF3 KLF5 ZBTB7B NR2F6 SOX13 GRHL3 ZDHHC13 ; HMGA2 PDLIM4
TIE1 ; HIC1 TAL1 SOX17 HEYL NOTCH4 BCL6B HEY2 MEF2C MEOX2 KLF2 ERG TCF21 FOXF1 EBF1 NR4A3 LDB2 FHL5 NAP1L3 LZTS1 TCF4 ZNF366 EBF3 ZNF423 ; 
