gene ; activator ; inhibitor
C1orf159 ; NR2F6 ; 
C1orf170 ;  ; DNMT1
C1orf86 ; ZNF444 ; GTF2A1
CCNL2 ; HDAC10 ZNF266 ZNF141 MDM4 ZNF224 SS18L1 ZNF84 ZNF211 ZNF333 ZNF443 ; 
MMP23B ; HIC1 MEIS3 TGFB1I1 MSC PRRX2 TWIST1 AEBP1 NAP1L3 GLIS2 TBX5 TWIST2 PRRX1 HAND2 CSDC2 ; 
MXRA8 ; GLIS1 HIC1 MEIS3 PTRF TGFB1I1 GLI2 MSC ZNF469 ETV1 PRRX2 TWIST1 AEBP1 ZFPM2 NAP1L3 GLIS2 TWIST2 PRRX1 HAND2 CSDC2 ; 
PRKCZ ; NR2F6 ; SPI1 WWTR1 FLI1 CREB5
SLC35E2 ; ZNF195 ZNF345 ZFP62 MDM4 ZNF224 ZNF253 SS18L1 ZNF440 ZNF627 ZKSCAN1 ZNF33A ZNF84 RERE ZNF518A ZNF333 ZNF443 ; 
TNFRSF18 ; STAT4 TBX21 RUNX3 ; 
TNFRSF4 ; LYL1 SPI1 SLA2 SNAI1 MNDA VENTX IRF8 FLI1 STAT4 TBX21 RUNX3 TFEC AEBP1 FOXP3 IRF4 PRRX1 ; 
KCNAB2 ; SPI1 MNDA CIITA IRF8 STAT4 TOX RUNX3 TFEC FOXP3 IRF4 ; 
GPR153 ; HES2 ; 
ESPN ; HES2 ; 
PLEKHG5 ; HES2 SOX15 ; 
THAP3 ; EDF1 SCAND1 ZNF524 GLI4 ZNF688 ANKS3 ZNF444 ; GTF2H3 ASCC3 ATF7IP RBL1 CLOCK GTF2A1
TNFRSF9 ; IRF1 SPI1 SLA2 MNDA SP140 CIITA IRF8 STAT4 TBX21 STAT1 RUNX3 TFEC TNFAIP3 FOXP3 IRF4 ; 
SLC2A5 ; SPI1 ; 
PIK3CD ; SPI1 SLA2 MNDA SP140 BIN1 PTRF EOMES CIITA IRF8 FLI1 STAT4 TBX21 TOX STAT1 RUNX3 TFEC CREB5 FOXP3 IRF4 ; 
MASP2 ; ZNF397 ZKSCAN1 ; 
SRM ;  ; MKL2
AGTRAP ;  ; TBX3
